Name;Description;FLT1;FLT2;FLT3;FLT4;AEM1;AEM2;AEM3;AEM4;flight1;flight2;flight3;flight4;control1;control2;control3;control4;flightMean;aemMean;FvsAEM
0610007P14RIK;RIKEN cDNA 0610007P14 gene;7,817609909;8,259301845;7,728688656;8,227608089;8,316221772;8,254490447;8,671204663;8,596376001;0,075886102;0,023674024;0,086397417;0,027420519;-0,03844994;-0,030741525;-0,082776796;-0,073432911;8,008303;8,459574;-0,451271
0610009B14RIK;RIKEN cDNA 0610009B14 gene;5,332970106;4,813362953;5,228370944;4,916786689;4,857756595;4,618165132;4,663464179;4,492370248;-0,144920555;-0,033367537;-0,122464451;-0,055571292;0,042405166;0,089635105;0,080705441;0,114432669;5,0728726;4,657939;0,4149336
0610009O20RIK;RIKEN cDNA 0610009O20 gene;6,754082893;6,904038352;6,711155046;6,758615118;6,933893369;6,856806138;7,029409804;7,051784717;0,030696173;0,009175502;0,03685691;0,030045737;-0,022400615;-0,011034125;-0,036484487;-0,039783661;6,781973;6,967973;-0,186
1110002L01RIK | KIF3C;RIKEN cDNA 1110002L01 gene | kinesin family member 3C;6,737971452;6,981090482;7,254914425;7,197883059;7,404944057;7,576801957;7,212431003;7,507044966;0,092566421;0,059824464;0,022947336;0,030628012;-0,051395834;-0,07579719;-0,024061741;-0,065892698;7,042965;7,4253054;-0,3823404
1110003O08RIK;RIKEN cDNA 1110003O08 gene;6,62276234;6,411306158;6,460815791;6,478115983;6,248688938;6,424357816;6,146673784;6,166595079;-0,060222298;-0,02637078;-0,034296659;-0,037066206;0,037663891;0,010609815;0,053374846;0,050306845;6,49325;6,246579;0,246671
1110008P14RIK;RIKEN cDNA 1110008P14 gene;5,415183819;5,344158198;5,363864521;5,690259564;5,793593546;5,862252452;6,134044056;5,774831709;0,080798183;0,092854446;0,089509391;0,034105378;-0,062388385;-0,074978571;-0,124817802;-0,058947971;5,4533668;5,8911805;-0,4378137
1110021L09RIK;RIKEN cDNA 1110021L09 gene;5,556042036;5,911571202;5,798638402;5,502771069;6,020134909;6,243869713;6,568870779;6,358515809;0,117787171;0,061334684;0,079266651;0,12624577;-0,057600965;-0,096906088;-0,154001393;-0,117046803;5,6922555;6,2978477;-0,6055922
1110028C15RIK | RPE;RIKEN cDNA 1110028C15 gene | ribulose-5-phosphate-3-epimerase;7,010527537;7,463567448;7,295409;7,104785746;7,697123323;7,609578065;7,447387067;7,558065753;0,074888924;0,015105657;0,03729589;0,062450585;-0,06629437;-0,05416659;-0,031698021;-0,04703051;7,2185726;7,5780387;-0,3594661
1300002K09RIK;RIKEN cDNA 1300002K09 gene;5,898655686;5,812140858;5,970840846;5,854288085;5,700489457;5,714997388;5,606828658;5,716644458;-0,03762981;-0,022411026;-0,050327868;-0,029825126;0,031184931;0,028719265;0,047102861;0,028439341;5,883981;5,68474;0,199241
1600012F09RIK;RIKEN cDNA 1600012F09 gene;6,693804901;7,274870861;7,067427783;7,18226073;7,610661232;7,461380522;7,37210834;7,371830579;0,101984227;0,024030596;0,051860382;0,036454824;-0,078823926;-0,057663136;-0,045008655;-0,044969282;7,0545907;7,4539948;-0,3994041
1700001O22RIK;RIKEN cDNA 1700001O22 gene;5,12159911;5,003921162;5,197361089;4,917525775;4,747454243;4,997113194;4,806857136;4,764665759;-0,060587151;-0,036218254;-0,076276036;-0,01832739;0,061786849;0,01244813;0,050047383;0,058385432;5,060102;4,8290224;0,2310796
1700007K13RIK;RIKEN cDNA 1700007K13 gene;5,08747388;5,634822377;5,513085831;6,154717166;6,541240462;6,821986413;7,606404648;6,187397876;0,250658227;0,170038433;0,187969194;0,093462338;-0,168595215;-0,218750591;-0,358887221;-0,105381096;5,5975246;6,789257;-1,1917324
