Name,Description,x,y,sample,value
0610007P14RIK,RIKEN cDNA 0610007P14 gene,1,1,flight1,0.075886102
0610007P14RIK,RIKEN cDNA 0610007P14 gene,2,1,flight2,0.023674024
0610007P14RIK,RIKEN cDNA 0610007P14 gene,3,1,flight3,0.086397417
0610007P14RIK,RIKEN cDNA 0610007P14 gene,4,1,flight4,0.027420519
0610009B14RIK,RIKEN cDNA 0610009B14 gene,1,2,flight1,-0.144920555
0610009B14RIK,RIKEN cDNA 0610009B14 gene,2,2,flight2,-0.033367537
0610009B14RIK,RIKEN cDNA 0610009B14 gene,3,2,flight3,-0.122464451
0610009B14RIK,RIKEN cDNA 0610009B14 gene,4,2,flight4,-0.055571292
0610009O20RIK,RIKEN cDNA 0610009O20 gene,1,3,flight1,0.030696173
0610009O20RIK,RIKEN cDNA 0610009O20 gene,2,3,flight2,0.009175502
0610009O20RIK,RIKEN cDNA 0610009O20 gene,3,3,flight3,0.03685691
0610009O20RIK,RIKEN cDNA 0610009O20 gene,4,3,flight4,0.030045737
1110002L01RIK | KIF3C,RIKEN cDNA 1110002L01 gene | kinesin family member 3C,1,4,flight1,0.092566421
1110002L01RIK | KIF3C,RIKEN cDNA 1110002L01 gene | kinesin family member 3C,2,4,flight2,0.059824464
1110002L01RIK | KIF3C,RIKEN cDNA 1110002L01 gene | kinesin family member 3C,3,4,flight3,0.022947336
1110002L01RIK | KIF3C,RIKEN cDNA 1110002L01 gene | kinesin family member 3C,4,4,flight4,0.030628012
1110003O08RIK,RIKEN cDNA 1110003O08 gene,1,5,flight1,-0.060222298
1110003O08RIK,RIKEN cDNA 1110003O08 gene,2,5,flight2,-0.02637078
1110003O08RIK,RIKEN cDNA 1110003O08 gene,3,5,flight3,-0.034296659
1110003O08RIK,RIKEN cDNA 1110003O08 gene,4,5,flight4,-0.037066206
1110008P14RIK,RIKEN cDNA 1110008P14 gene,1,6,flight1,0.080798183
1110008P14RIK,RIKEN cDNA 1110008P14 gene,2,6,flight2,0.092854446
1110008P14RIK,RIKEN cDNA 1110008P14 gene,3,6,flight3,0.089509391
1110008P14RIK,RIKEN cDNA 1110008P14 gene,4,6,flight4,0.034105378
1110021L09RIK,RIKEN cDNA 1110021L09 gene,1,7,flight1,0.117787171
1110021L09RIK,RIKEN cDNA 1110021L09 gene,2,7,flight2,0.061334684
1110021L09RIK,RIKEN cDNA 1110021L09 gene,3,7,flight3,0.079266651
1110021L09RIK,RIKEN cDNA 1110021L09 gene,4,7,flight4,0.12624577
1110028C15RIK | RPE,RIKEN cDNA 1110028C15 gene | ribulose-5-phosphate-3-epimerase,1,8,flight1,0.074888924
1110028C15RIK | RPE,RIKEN cDNA 1110028C15 gene | ribulose-5-phosphate-3-epimerase,2,8,flight2,0.015105657
1110028C15RIK | RPE,RIKEN cDNA 1110028C15 gene | ribulose-5-phosphate-3-epimerase,3,8,flight3,0.03729589
1110028C15RIK | RPE,RIKEN cDNA 1110028C15 gene | ribulose-5-phosphate-3-epimerase,4,8,flight4,0.062450585
1300002K09RIK,RIKEN cDNA 1300002K09 gene,1,9,flight1,-0.03762981
1300002K09RIK,RIKEN cDNA 1300002K09 gene,2,9,flight2,-0.022411026
1300002K09RIK,RIKEN cDNA 1300002K09 gene,3,9,flight3,-0.050327868
1300002K09RIK,RIKEN cDNA 1300002K09 gene,4,9,flight4,-0.029825126
1600012F09RIK,RIKEN cDNA 1600012F09 gene,1,10,flight1,0.101984227
1600012F09RIK,RIKEN cDNA 1600012F09 gene,2,10,flight2,0.024030596
1600012F09RIK,RIKEN cDNA 1600012F09 gene,3,10,flight3,0.051860382
1600012F09RIK,RIKEN cDNA 1600012F09 gene,4,10,flight4,0.036454824
1700001O22RIK,RIKEN cDNA 1700001O22 gene,1,11,flight1,-0.060587151
1700001O22RIK,RIKEN cDNA 1700001O22 gene,2,11,flight2,-0.036218254
1700001O22RIK,RIKEN cDNA 1700001O22 gene,3,11,flight3,-0.076276036
1700001O22RIK,RIKEN cDNA 1700001O22 gene,4,11,flight4,-0.01832739
1700007K13RIK,RIKEN cDNA 1700007K13 gene,1,12,flight1,0.250658227
1700007K13RIK,RIKEN cDNA 1700007K13 gene,2,12,flight2,0.170038433
1700007K13RIK,RIKEN cDNA 1700007K13 gene,3,12,flight3,0.187969194
1700007K13RIK,RIKEN cDNA 1700007K13 gene,4,12,flight4,0.093462338
1700017D01RIK,RIKEN cDNA 1700017D01 gene,1,13,flight1,0.059053398
1700017D01RIK,RIKEN cDNA 1700017D01 gene,2,13,flight2,0.034373433
1700017D01RIK,RIKEN cDNA 1700017D01 gene,3,13,flight3,0.072797778
1700017D01RIK,RIKEN cDNA 1700017D01 gene,4,13,flight4,0.039622617
1700018A04RIK,RIKEN cDNA 1700018A04 gene,1,14,flight1,-0.067409429
1700018A04RIK,RIKEN cDNA 1700018A04 gene,2,14,flight2,-0.044493311
1700018A04RIK,RIKEN cDNA 1700018A04 gene,3,14,flight3,-0.055589643
1700018A04RIK,RIKEN cDNA 1700018A04 gene,4,14,flight4,-0.012716959
1700029J07RIK,RIKEN cDNA 1700029J07 gene,1,15,flight1,0.040145725
1700029J07RIK,RIKEN cDNA 1700029J07 gene,2,15,flight2,0.071678542
1700029J07RIK,RIKEN cDNA 1700029J07 gene,3,15,flight3,0.024182621
1700029J07RIK,RIKEN cDNA 1700029J07 gene,4,15,flight4,0.107936838
1700041G16RIK,RIKEN cDNA 1700041G16 gene,1,16,flight1,-0.038067017
1700041G16RIK,RIKEN cDNA 1700041G16 gene,2,16,flight2,-0.020129633
1700041G16RIK,RIKEN cDNA 1700041G16 gene,3,16,flight3,-0.055011881
1700041G16RIK,RIKEN cDNA 1700041G16 gene,4,16,flight4,-0.056978346
1700049L16RIK | GM6419,hematological and neurological expressed 1-like pseudogene | predicted gene 6419,1,17,flight1,0.060183599
1700049L16RIK | GM6419,hematological and neurological expressed 1-like pseudogene | predicted gene 6419,2,17,flight2,0.088009578
1700049L16RIK | GM6419,hematological and neurological expressed 1-like pseudogene | predicted gene 6419,3,17,flight3,0.062557287
1700049L16RIK | GM6419,hematological and neurological expressed 1-like pseudogene | predicted gene 6419,4,17,flight4,0.063383195
1700066J24RIK,RIKEN cDNA 1700066J24 gene,1,18,flight1,-0.111085657
1700066J24RIK,RIKEN cDNA 1700066J24 gene,2,18,flight2,-0.048298905
1700066J24RIK,RIKEN cDNA 1700066J24 gene,3,18,flight3,-0.086744431
1700066J24RIK,RIKEN cDNA 1700066J24 gene,4,18,flight4,-0.07574423
1700074P13RIK,RIKEN cDNA 1700074P13 gene,1,19,flight1,-0.052320128
1700074P13RIK,RIKEN cDNA 1700074P13 gene,2,19,flight2,-0.096875619
1700074P13RIK,RIKEN cDNA 1700074P13 gene,3,19,flight3,-0.119212945
1700074P13RIK,RIKEN cDNA 1700074P13 gene,4,19,flight4,-0.039806125
1700123I01RIK,RIKEN cDNA 1700123I01 gene,1,20,flight1,-0.106858527
1700123I01RIK,RIKEN cDNA 1700123I01 gene,2,20,flight2,-0.065837514
1700123I01RIK,RIKEN cDNA 1700123I01 gene,3,20,flight3,-0.062831711
1700123I01RIK,RIKEN cDNA 1700123I01 gene,4,20,flight4,-0.025703748
2010107G12RIK,RIKEN cDNA 2010107G12 gene,1,21,flight1,-0.045055723
2010107G12RIK,RIKEN cDNA 2010107G12 gene,2,21,flight2,-0.038185969
2010107G12RIK,RIKEN cDNA 2010107G12 gene,3,21,flight3,-0.034279103
2010107G12RIK,RIKEN cDNA 2010107G12 gene,4,21,flight4,-0.02867649
2010204K13RIK,RIKEN cDNA 2010204K13 gene,1,22,flight1,-0.057619771
2010204K13RIK,RIKEN cDNA 2010204K13 gene,2,22,flight2,-0.059987331
2010204K13RIK,RIKEN cDNA 2010204K13 gene,3,22,flight3,-0.034538319
2010204K13RIK,RIKEN cDNA 2010204K13 gene,4,22,flight4,-0.00986864
2200002J24RIK,RIKEN cDNA 2200002J24 gene,1,23,flight1,-0.094111234
2200002J24RIK,RIKEN cDNA 2200002J24 gene,2,23,flight2,-0.043880275
2200002J24RIK,RIKEN cDNA 2200002J24 gene,3,23,flight3,-0.091594653
2200002J24RIK,RIKEN cDNA 2200002J24 gene,4,23,flight4,-0.049766934
2200002K05RIK,RIKEN cDNA 2200002K05 gene,1,24,flight1,-0.028783861
2200002K05RIK,RIKEN cDNA 2200002K05 gene,2,24,flight2,-0.033706363
2200002K05RIK,RIKEN cDNA 2200002K05 gene,3,24,flight3,-0.06322789
2200002K05RIK,RIKEN cDNA 2200002K05 gene,4,24,flight4,-0.02352555
2210403K04RIK | MIR22,RIKEN cDNA 2210403K04 gene | microRNA 22,1,25,flight1,0.031431841
2210403K04RIK | MIR22,RIKEN cDNA 2210403K04 gene | microRNA 22,2,25,flight2,0.072626228
2210403K04RIK | MIR22,RIKEN cDNA 2210403K04 gene | microRNA 22,3,25,flight3,0.08269698
2210403K04RIK | MIR22,RIKEN cDNA 2210403K04 gene | microRNA 22,4,25,flight4,0.030231714
2310008H04RIK,RIKEN cDNA 2310008H04 gene,1,26,flight1,0.028313104
2310008H04RIK,RIKEN cDNA 2310008H04 gene,2,26,flight2,0.010019458
2310008H04RIK,RIKEN cDNA 2310008H04 gene,3,26,flight3,0.04546065
2310008H04RIK,RIKEN cDNA 2310008H04 gene,4,26,flight4,0.02302275
2310022A10RIK,RIKEN cDNA 2310022A10 gene,1,27,flight1,0.050162484
2310022A10RIK,RIKEN cDNA 2310022A10 gene,2,27,flight2,0.028608015
2310022A10RIK,RIKEN cDNA 2310022A10 gene,3,27,flight3,0.104524681
2310022A10RIK,RIKEN cDNA 2310022A10 gene,4,27,flight4,0.04283857
2410075B13RIK,RIKEN cDNA 2410075B13 gene,1,28,flight1,0.048298353
2410075B13RIK,RIKEN cDNA 2410075B13 gene,2,28,flight2,0.041286723
2410075B13RIK,RIKEN cDNA 2410075B13 gene,3,28,flight3,0.059799819
2410075B13RIK,RIKEN cDNA 2410075B13 gene,4,28,flight4,0.031639115
2410124H12RIK,RIKEN cDNA 2410124H12 gene,1,29,flight1,-0.063886821
2410124H12RIK,RIKEN cDNA 2410124H12 gene,2,29,flight2,-0.026219765
2410124H12RIK,RIKEN cDNA 2410124H12 gene,3,29,flight3,-0.040343632
2410124H12RIK,RIKEN cDNA 2410124H12 gene,4,29,flight4,-0.059965418
2410127L17RIK,RIKEN cDNA 2410127L17 gene,1,30,flight1,0.08183966
2410127L17RIK,RIKEN cDNA 2410127L17 gene,2,30,flight2,0.022210607
2410127L17RIK,RIKEN cDNA 2410127L17 gene,3,30,flight3,0.056195141
2410127L17RIK,RIKEN cDNA 2410127L17 gene,4,30,flight4,0.034641094
2610028A01RIK,RIKEN cDNA 2610028A01 gene,1,31,flight1,0.054042918
