Name,Description,FLT1,FLT2,FLT3,FLT4,AEM1,AEM2,AEM3,AEM4,Flight Mean,AEM Mean,F vs AEM,cluster
ALB,albumin,5.232768468,4.881967715,5.45369169,4.939896016,6.092638908,7.788103513,8.874979929,9.952690748,5.1270810000000004,8.177103,-3.050022,I
HSPH1,heat shock 105kDa/110kDa protein 1,7.183176116,7.827669593,7.753850207,7.711255099,9.754173882,9.437640435,9.587584978,9.267242427,7.618987,9.511661,-1.892674,A
CXCL10,chemokine (C-X-C motif) ligand 10,7.009643927,7.580864585,7.339758653,7.818421416,9.087859123,8.872542752,8.972976716,8.810797996,7.437172,8.936044,-1.498872,G
ACACA,acetyl-Coenzyme A carboxylase alpha,8.670817631,8.578528836,9.133926617,7.607565043,9.235923843,10.11878738,10.15435818,9.756878498,8.497709,9.816487,-1.318778,J
ME1,"""malic enzyme 1, NADP(+)-dependent, cytosolic""",9.503072258,9.763456358,10.43001256,9.352557823,10.64702313,11.17224151,11.30273737,11.13264691,9.762275,11.063662,-1.301387,I
PTGER3,prostaglandin E receptor 3 (subtype EP3),5.937254822,6.009414847,6.206202727,5.802217589,7.0460965270000004,7.244573299,7.603542262,7.06266955,5.9887724,7.23922,-1.2504476,F
ACLY,ATP citrate lyase,9.589229465,9.319709187,9.53604633,9.223556887,10.35662956,10.83755685,10.81514044,10.57755404,9.417135,10.64672,-1.229585,D
THRSP,thyroid hormone responsive SPOT14 homolog (Rattus),8.216748907,8.233862782,8.946309342,8.466495027,9.608059351,10.01140529,9.671115152,9.407716062,8.465854,9.674574,-1.20872,C
1700007K13RIK,RIKEN cDNA 1700007K13 gene,5.08747388,5.634822377,5.513085831,6.154717166,6.541240462,6.821986413,7.606404648,6.187397876,5.5975246,6.789257,-1.1917324,J
ART2B,ADP-ribosyltransferase 2b,4.780544569,5.765456199,5.097634995,5.208295616,6.46355293,6.304416312,6.385156876,6.338796783,5.212983,6.3729806,-1.1599976,A
SNORD37,"""small nucleolar RNA, C/D box 37""",4.502014022,3.937100868,4.340029818,5.003127975,5.326456184,5.288980121,5.592239032,6.070960864,4.445568,5.569659,-1.124091,F
TPPP3,tubulin polymerization-promoting protein family member 3,5.923999807,6.399554946,6.663883942,6.74657317,7.224284502,7.277928225,8.136319588,7.376158787,6.4335027,7.5036726,-1.0701699,H
HSPB1,heat shock protein 1,6.689197068,7.98874643,7.88044922,7.789177112,8.64751076,8.569258322,9.182548206,8.176449605,7.5868926,8.643942,-1.0570494,H
GJA1,"""gap junction protein, alpha 1""",6.877880517,8.396303268,8.253387354,8.035714518,8.804699804,9.077412513,9.290774887,8.608132076,7.8908215,8.945255,-1.0544335,G
ACSS2,acyl-CoA synthetase short-chain family member 2,7.806177749,8.139182848,8.17051645,8.245916819,8.665904914,9.141233813,9.596411222,9.152575023,8.090448,9.139031,-1.048583,A
ANXA3,annexin A3,5.793943325,6.710099065,6.365914408,7.086545255,7.34420171,7.315483148,8.030726367,7.370383586,6.4891257,7.5151987,-1.026073,B
ADRB3,"""adrenergic receptor, beta 3""",5.365904293,6.217610082,6.48824524,6.046164129,6.501608243,7.312558687,7.426817762,6.976469599,6.0294805,7.0543637,-1.0248832,I
FASN,fatty acid synthase,10.73079478,10.46207269,11.0764123,9.689624993,10.90962237,11.61733165,11.93723121,11.58707161,10.489726,11.5128145,-1.0230885,A
SNORD14E,"""small nucleolar RNA, C/D box 14E""",7.340515329,7.266542843,7.915307778,7.390941532,8.770865046,8.351599153,8.051544889,8.74828717,7.478327,8.480574,-1.002247,B
SKINT9,selection and upkeep of intraepithelial T cells 9,4.554062868,5.113914808,4.596249235,5.241722203,6.139255893,5.997925993,5.777896847,5.599360154,4.8764873,5.8786097,-1.0021224,I
SLC25A1,"""solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1""",8.288283368,8.520179591,8.799640131,8.282322274,8.952014486,9.523023578,9.74468946,9.643383477,8.472607,9.465777,-0.99317,E
NPAS2,neuronal PAS domain protein 2,5.85933614,5.71739956,5.498287364,5.938860954,6.457114554,6.449617688,7.283721456,6.792823349,5.7534714,6.7458196,-0.9923482,E
SNORD14D | SNORD14C | HSPA8,"""small nucleolar RNA, C/D box 14D | small nucleolar RNA, C/D box 14C | heat shock protein 8""",7.48989383,7.965982324,7.672935112,7.981780646,8.83726319,8.748430353,8.464978356,9.028732661,7.777648,8.769851,-0.992203,D
MMD,monocyte to macrophage differentiation-associated,7.587500562,8.33511251,8.195306474,8.078891136,8.738104974,9.027931598,9.231781008,9.134066132,8.049203,9.032971,-0.983768,H
ALDH1A2,"""aldehyde dehydrogenase family 1, subfamily A2""",5.436643948,6.09954673,5.693929444,5.640615148,6.523629338,6.451044075,7.333017236,6.476789999,5.7176843,6.69612,-0.9784357,B
RBP4,"""retinol binding protein 4, plasma""",6.408121998,7.358865168,7.350884752,7.274508405,7.730486268,7.956000707,8.317872225,8.297691639,7.098095,8.075513,-0.977418,I
APOL7C,apolipoprotein L 7c,5.177380769,6.162565569,6.172185768,6.042722264,6.997923421,6.746733502,6.860936921,6.848589599,5.888714,6.863546,-0.974832,I
TSHR,thyroid stimulating hormone receptor,4.495960963,5.358350275,4.619602111,5.222365808,5.483568664,5.82624474,6.699817901,5.499728758,4.92407,5.8773403,-0.9532703,H
WDR78,WD repeat domain 78,8.293405277,8.150473427,8.439177723,8.158018817,9.241787443,9.151669586,9.177338632,9.257166783,8.260269,9.206991,-0.946722,C
FKBP4,FK506 binding protein 4,8.163958527,8.397200069,8.0895332,8.484900849,9.314437551,9.010635019,9.351558779,9.189218978,8.283897,9.216463,-0.932566,A
P4HA1,"""procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide""",7.176899807,8.052089251,7.438785426,7.86455871,8.722808935,8.452921366,8.633211304,8.437485416,7.6330833,8.561606,-0.9285227,A
PNPLA3,patatin-like phospholipase domain containing 3,6.405952603,6.003187365,6.628768728,6.212119738,6.901519393,7.06009066,7.587508058,7.26577441,6.312507,7.203723,-0.891216,I
GABRP,"""gamma-aminobutyric acid (GABA) A receptor, pi""",5.82619923,6.024555218,6.257535786,6.363762061,6.486252578,6.927808676,7.789897439,6.823165987,6.118013,7.006781,-0.888768,F
STIP1,stress-induced phosphoprotein 1,9.130176235,9.402775265,9.050072333,9.071250667,10.22888235,10.01450871,10.00350306,9.92143625,9.1635685,10.042083,-0.8785145,H
CACYBP,calcyclin binding protein,9.574533644,10.31810543,10.01332536,9.831383023,10.8706375,10.71440405,10.89248396,10.76562577,9.934337,10.810787,-0.87645,B
SERPINH1,"""serine (or cysteine) peptidase inhibitor, clade H, member 1""",6.402556552,6.05161471,6.366110867,6.338145998,7.044474179,7.254690504,7.340171177,6.995680448,6.289607,7.158754,-0.869147,B
NNAT,neuronatin,5.090092466,5.523952436,5.153424577,5.423492438,6.161444868,5.986936274,6.688527006,5.81379825,5.2977405,6.1626763,-0.8649358,B
GPR81,G protein-coupled receptor 81,6.053508534,5.801251693,6.188613041,5.586397295,6.400421011,6.6590164,7.106698488,6.900449151,5.9074426,6.7666464,-0.8592038,J
HSP90AA1,"""heat shock protein 90, alpha (cytosolic), class A member 1""",10.56832827,10.65322614,10.44753049,10.41594705,11.51023569,11.40392693,11.37573982,11.19943363,10.521257,11.372334,-0.851077,J
PPP1R3C,"""protein phosphatase 1, regulatory (inhibitor) subunit 3C""",5.669064302,5.750511405,6.131982558,5.940966644,6.390348013,6.807575508,7.123312131,6.571936386,5.873131,6.7232933,-0.8501623,D
INSIG1,insulin induced gene 1,8.057738898,8.614205388,8.375836719,8.123184118,8.880354412,9.251322523,9.181255902,9.25861461,8.292741,9.142887,-0.850146,D
CDR2,cerebellar degeneration-related 2,5.635481079,6.363933744,6.472504309,6.564374087,6.880380523,7.009729025,7.450219388,7.074432426,6.2590733,7.10369,-0.8446167,H
AGPAT2,"""1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)""",8.667048114,9.527059119,9.782616374,9.604966333,9.864354539,10.31224999,10.49832429,10.26620987,9.395422,10.235285,-0.839863,A
PCX,pyruvate carboxylase,7.895877755,8.834964161,8.704041953,8.610487968,8.939900539,9.241036745,9.812376279,9.39626071,8.511343,9.347393,-0.83605,B
SKINT4,selection and upkeep of intraepithelial T cells 4,4.952742021,5.450562244,4.945651528,5.345164396,6.41603703,6.026290413,5.759357077,5.781340737,5.1735306,5.995756,-0.8222254,G
S1PR3,sphingosine-1-phosphate receptor 3,5.596132298,6.342692988,5.966442022,6.27580775,6.610266489,7.041912374,6.928001399,6.866964545,6.045269,6.8617864,-0.8165174,I
IDI1,isopentenyl-diphosphate delta isomerase,7.245200032,8.214273024,7.698481841,7.275909912,8.494467609,8.336733334,8.383494602,8.477537852,7.608466,8.4230585,-0.8145925,H
ALOX12E,"""arachidonate lipoxygenase, epidermal""",6.284617244,6.905598453,6.443873137,7.150723571,7.444239187,7.468054364,7.729288027,7.393649831,6.696203,7.508808,-0.812605,E
TNC,tenascin C,7.567921084,8.011233602,7.330091585,7.76230541,8.465848783,8.371849699,8.519318794,8.557454123,7.6678877,8.478618,-0.8107303,B
PHLDA3,"""pleckstrin homology-like domain, family A, member 3""",6.899079427,7.449091609,7.618876307,7.846116925,8.034775048,8.147070606,8.553434853,8.319863747,7.4532914,8.263786,-0.8104946,H
UBE2L6,ubiquitin-conjugating enzyme E2L 6,6.033038442,6.869828812,6.422285466,6.434796196,7.05557986,7.043898271,7.767541969,7.127942856,6.439987,7.2487407,-0.8087537,B
SRM,spermidine synthase,7.033358441,7.405276241,7.136222289,7.407859562,7.964546651,7.843461238,8.112347581,8.232889694,7.2456794,8.038312,-0.7926326,I
PGD,phosphogluconate dehydrogenase,8.373939431,9.085815718,8.808127849,9.176233123,9.258363598,9.755601057,9.913888431,9.685291933,8.861029,9.653286,-0.792257,J
DNAHC8,"""dynein, axonemal, heavy chain 8""",7.342734283,7.413570029,7.249673611,6.72475658,7.959100576,8.012982386,7.946078931,7.981347351,7.1826835000000004,7.9748774,-0.7921939,E
STEAP4,STEAP family member 4,6.982672697,7.626908448,7.431130686,7.719534843,8.010130438,8.173927171,8.7243204,8.0203534,7.4400616,8.232183,-0.7921214,D
PSMB11,"""proteasome (prosome, macropain) subunit, beta type, 11""",6.892657062,6.739568831,6.442252735,6.208912912,7.427679697,7.371334568,7.083104934,7.568396751,6.5708475,7.362629,-0.7917815,B
H2-M2,"""histocompatibility 2, M region locus 2""",6.082315629,6.697149801,6.379697873,6.714119062,7.354357908,7.32418919,7.108571526,7.245151425,6.4683204,7.2580676,-0.7897472,D
CHORDC1,"""cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1""",7.840749775,8.29000859,7.913501615,8.317620009,9.019686422,8.895417555,8.779792676,8.811291034,8.09047,8.876547,-0.786077,G
ACOT7,acyl-CoA thioesterase 7,7.112312766,7.797481111,7.33215401,7.769485283,8.183023697,8.036417664,8.432631358,8.502330718,7.502858,8.288601,-0.785743,J
BC034902,cDNA sequence BC034902,5.996230676,6.564473492,6.845387843,6.148359999,6.897605912,7.466286651,7.336502034,6.986947409,6.3886127,7.1718354,-0.7832227,H
A530016L24RIK,RIKEN cDNA A530016L24 gene,6.635657261,6.689009106,6.848723414,6.671297382,7.194173928,7.744381279,7.645656623,7.354036158,6.7111716,7.484562,-0.7733904,C
CCND1,cyclin D1,6.414624176,6.880789553,6.653516582,7.030665977,7.364952048,7.308816949,7.902393758,7.465207183,6.7448993,7.5103426,-0.7654433,H
SDF2L1,stromal cell-derived factor 2-like 1,6.799841041,7.013467794,6.554480051,7.362793515,7.663953941,7.597962511,7.699919647,7.808489957,6.9326453,7.692581,-0.7599357,D
KLHDC7A,kelch domain containing 7A,5.313464181,5.506820241,5.53203366,5.186499787,5.985387062,6.244690095,6.216879241,6.125183695,5.3847046,6.143035,-0.7583304,B
KRT17,keratin 17,7.647789428,8.00933274,7.500327527,8.570874825,8.591929981,8.424253012,8.931725153,8.782865753,7.932081,8.6826935,-0.7506125,I
TKT,transketolase,8.966711379,8.921067399,9.038877592,9.02066615,9.535351046,9.708609901,9.935263801,9.757962785,8.986831,9.734297,-0.747466,G
EEF1E1,eukaryotic translation elongation factor 1 epsilon 1,7.43705816,8.269745093,8.036107192,8.30652888,8.9272707,8.662905909,8.552589698,8.887719653,8.01236,8.757622,-0.745262,C
SNCG,"""synuclein, gamma""",6.742192695,7.166906033,6.709786493,7.045089498,7.38644946,7.672189668,8.027816682,7.549027427,6.9159937,7.6588707,-0.742877,B
COMT1,catechol-O-methyltransferase 1,7.66650012,8.372672422,7.963992098,8.641917283,8.59081551,8.747687151,9.173022254,9.096651018,8.161271,8.902044,-0.740773,G
APOC3,apolipoprotein C-III,5.590856809,5.528033493,5.861130683,5.770037617,6.046597003,6.137398988,6.524810302,6.983633871,5.6875153,6.42311,-0.7355947,J
CCL12,chemokine (C-C motif) ligand 12,5.125833059,5.303757691,4.681255123,5.242858344,5.661081389,5.733816193,5.946103719,5.926424265,5.088426,5.8168564,-0.7284304,E
AHSA1,"""AHA1, activator of heat shock protein ATPase homolog 1 (yeast)""",8.597076406,8.769760041,8.523813782,9.011081903,9.57687582,9.332569016,9.461395798,9.417164769,8.725433,9.447001,-0.721568,D
TBATA,"""thymus, brain and testes associated""",8.169551825,8.32623651,7.863774465,8.141970245,8.695982585,8.715319083,8.970821865,8.998677032,8.125383,8.8452,-0.719817,F
NAT8L,N-acetyltransferase 8-like,5.398228158,5.825552461,5.661330782,5.56310717,5.952361309,6.273711838,6.670291061,6.413785585,5.6120543,6.327537,-0.7154827,I
SFN,stratifin,7.287137208,7.465858616,7.09026055,7.52629228,8.1141163,7.80174921,8.410250585,7.894901473,7.342387,8.055254,-0.712867,A
